Symbol	Cancer_type	Gender	Count
CDKN1A	BLCA	FEMALE	8
CDKN1A	BLCA	MALE	40
CDKN1A	COAD	FEMALE	1
CDKN1A	COAD	MALE	1
CDKN1A	GBM	FEMALE	1
CDKN1A	LIHC	FEMALE	4
CDKN1A	LIHC	MALE	9
CDKN1A	LUAD	FEMALE	2
CDKN1A	LUSC	MALE	3
CDKN1A	READ	MALE	1
CDKN1A	STAD	FEMALE	5
CDKN1A	STAD	MALE	3
LATS1	BLCA	FEMALE	3
LATS1	BLCA	MALE	22
LATS1	COAD	FEMALE	14
LATS1	COAD	MALE	9
LATS1	GBM	FEMALE	6
LATS1	LIHC	FEMALE	3
LATS1	LIHC	MALE	3
LATS1	LUAD	FEMALE	10
LATS1	LUAD	MALE	10
LATS1	LUSC	FEMALE	5
LATS1	LUSC	MALE	26
LATS1	PAAD	FEMALE	3
LATS1	PAAD	MALE	1
LATS1	READ	FEMALE	2
LATS1	READ	MALE	5
LATS1	STAD	FEMALE	8
LATS1	STAD	MALE	18
SAV1	BLCA	FEMALE	1
SAV1	BLCA	MALE	2
SAV1	COAD	FEMALE	1
SAV1	COAD	MALE	2
SAV1	GBM	FEMALE	1
SAV1	LIHC	FEMALE	1
SAV1	LUAD	FEMALE	1
SAV1	LUAD	MALE	6
SAV1	LUSC	MALE	2
SAV1	READ	MALE	2
SAV1	STAD	FEMALE	2
SAV1	STAD	MALE	3
TEAD1	BLCA	FEMALE	1
TEAD1	BLCA	MALE	3
TEAD1	COAD	FEMALE	8
TEAD1	COAD	MALE	3
TEAD1	GBM	FEMALE	4
TEAD1	GBM	MALE	1
TEAD1	LIHC	FEMALE	1
TEAD1	LIHC	MALE	1
TEAD1	LUAD	FEMALE	2
TEAD1	LUAD	MALE	2
TEAD1	LUSC	MALE	4
TEAD1	STAD	FEMALE	3
TEAD1	STAD	MALE	5
WWTR1	BLCA	FEMALE	1
WWTR1	BLCA	MALE	5
WWTR1	COAD	FEMALE	3
WWTR1	COAD	MALE	2
WWTR1	GBM	FEMALE	2
WWTR1	LUAD	FEMALE	1
WWTR1	LUAD	MALE	3
WWTR1	LUSC	FEMALE	3
WWTR1	LUSC	MALE	4
WWTR1	PAAD	FEMALE	2
WWTR1	READ	FEMALE	1
WWTR1	READ	MALE	1
WWTR1	STAD	MALE	5
YAP1	BLCA	FEMALE	3
YAP1	BLCA	MALE	5
YAP1	COAD	FEMALE	1
YAP1	COAD	MALE	5
YAP1	GBM	MALE	2
YAP1	LUAD	FEMALE	1
YAP1	LUAD	MALE	2
YAP1	LUSC	FEMALE	1
YAP1	LUSC	MALE	4
YAP1	PAAD	FEMALE	3
YAP1	READ	FEMALE	1
YAP1	READ	MALE	1
YAP1	STAD	MALE	5
