YAP1	WWTR1	ABCC1	ACACA	ACSL3	CS	FANCD2	FTL	G6PD	IREB2	LOX	LPCAT3	NCOA4	NFE2L2	NOX4	PEBP1	PTGS2	SLC1A5	SLC40A1	TFRC	ZEB1
2.6312	1.5272	0.9532	1.4312	2.455	3.5812	0.1703	13.8871	3.4578	1.1522	2.0786	0.3919	4.6658	2.4915	0.1585	8.5744	0.0264	1.6969	3.283	2.0524	0.8264
2.2183	2.2039	1.4159	1.4574	3.9406	3.1766	0.4719	14.5521	2.6986	1.6122	0.825	2.0722	6.2353	3.4585	0.3114	9.9439	0.2508	2.0908	5.3367	2.6015	1.8911
1.939	1.0865	0.2396	1.2402	2.3562	2.7633	0.3087	12.9972	2.0351	1.458	0.1444	0.5871	4.6666	3.0747	0.1102	10.3046	0.0058	0.7118	4.3969	2.3192	0.8639
2.1635	2.6448	1.2485	1.8467	3.294	3.1561	0.3195	15.6266	3.4054	1.6701	0.3656	0.3613	5.1827	3.6192	0.2712	9.4778	0.3139	3.8957	5.8277	3.4432	0.9523
2.9625	1.8755	0.2582	1.9267	4.233	3.5906	0.4476	13.6416	2.335	1.8711	0.3361	2.8095	6.5346	4.1943	0.1798	10.1854	0.0305	1.3617	5.5656	3.9004	1.2008
2.1271	2.3024	1.0557	1.5792	2.6632	3.2779	0.2684	15.7273	4.4566	1.5968	1.5802	0.1336	5.5599	3.7089	0.1897	9.7801	0.0505	2.0276	4.7985	1.3285	1.1582
2.7406	1.3811	0.8327	1.4427	3.446	3.5137	0.3355	13.2868	1.8962	1.4724	0.3542	1.0203	5.506	3.6036	0.1194	9.5873	0.0179	1.088	4.0793	2.5344	0.8832
3.6103	1.7573	1.6062	2.9343	4.2156	4.5754	0.8915	14.3615	3.9121	2.1576	0.7088	1.9723	6.6876	4.0293	0.0256	9.6794	0	2.3703	6.0437	2.7992	1.4581
2.664	1.1903	1.4035	1.5459	2.8622	3.4519	0.6478	15.2297	3.6878	1.4365	0.1136	3.0097	5.6654	3.7257	0.0674	10.3978	0.0171	1.3926	6.2052	3.718	0.7886
3.3163	2.3549	1.7365	1.9797	4.4044	3.8	0.6738	14.2833	3.5004	2.4664	1.4131	1.2565	6.2675	4.1384	0.2909	9.7133	0.2426	2.0559	6.6025	3.0136	2.049
3.7285	2.2472	1.9169	2.3484	4.9186	4.5258	1.3398	13.1606	2.6471	2.6487	4.499	1.7224	6.2676	4.4387	0.6123	8.946	0.7991	4.396	5.838	4.6864	1.8435
3.429	2.3821	0.2192	1.7457	2.6525	3.8568	0.5698	11.9123	1.9445	2.6733	0.3455	1.3053	6.4067	4.6358	0.0835	10.1224	0.0274	0.5936	5.5343	3.8358	1.785
