ABCC1	ACACA	ACSL3	CS	FANCD2	FTL	G6PD	IREB2	LOX	LPCAT3	NCOA4	NFE2L2	NOX4	PEBP1	PTGS2	SLC1A5	SLC40A1	TFRC	ZEB1	YAP1	WWTR1	TEAD1	TEAD2	TEAD3	TEAD4	SMAD1	SMAD2	SMAD3	SMAD4
1.2115	1.5178	3.1254	3.0914	0.297	12.0341	1.3298	2.2797	0.8554	2.1238	6.1371	4.1681	0.0407	9.8897	0.549	1.8146	5.4125	2.928	1.7766	3.1563	2.8727	2.4184	1.7389	2.3568	1.3685	1.7276	0.8951	2.2551	2.3737
1.2752	2.5948	4.4994	3.6233	0.3619	11.7013	1.4082	2.5097	2.3646	2.8152	6.5422	3.4581	0.2868	9.8114	0.0999	1.9819	6.5404	4.2215	2.0104	4.1507	2.5785	2.0018	2.8029	3.9919	0.6519	1.7398	1.0276	3.5589	2.3231
2.0875	1.8397	3.297	3.6294	1.4195	14.4239	3.8311	2.5508	0.7198	3.0862	6.1343	4.0525	0.2209	9.6166	0.6769	3.4496	6.8023	3.7782	1.9178	2.3105	2.1583	2.2143	1.6772	2.7428	1.5705	1.4016	1.292	2.2992	2.4677
0.4369	1.807	3.9568	3.0821	0.5396	12.7451	2.0725	2.0614	0.511	3.2282	6.3775	4.7766	0.1671	9.409	0.0255	0.7043	5.502	4.2997	1.2556	2.9443	1.2461	2.6762	2.1312	3.1465	0.555	2.3681	0.9343	2.2081	2.0314
0.9731	1.6641	3.0721	4.0751	0.5312	12.3986	2.9055	2.6006	1.7867	2.0481	6.3362	4.3384	0.1986	8.9999	1.2288	2.3657	5.2089	2.7993	2.3125	4.6638	4.0661	2.9209	3.4247	4.0794	1.7353	1.5107	1.2294	3.1878	2.3092
0.9121	3.0872	2.8226	5.3916	1.9724	14.4417	4.3221	2.3778	0.9431	2.4544	6.7562	4.5443	0.3445	10.1146	0.0723	2.1083	5.1096	3.6807	1.4262	5.3719	2.2656	2.7681	2.5533	3.1112	2.5485	1.6411	1.5775	2.7295	2.4213
0.329	2.4048	3.5604	2.9761	0.3746	12.6192	2.2474	1.3745	0.3388	1.1137	5.7821	3.5065	0.3254	9.7054	0.0293	1.1672	4.9905	3.0586	1.1496	2.2593	1.5889	1.9114	1.5844	2.4738	1.0508	1.1121	0.9848	1.4118	1.9893
1.3711	2.5352	4.3769	4.4442	0.9067	13.7991	3.2177	2.7365	1.7204	2.1332	6.5785	3.4386	0.509	8.9342	0.181	3.1515	5.2062	3.4975	1.6311	3.3658	2.1507	2.1789	3.727	3.4454	1.7681	1.7889	1.0115	2.8265	1.8146
0.439	1.8341	4.9168	3.62	0.8585	14.1394	4.7827	1.7872	0.1775	0.5953	5.5102	3.3805	0.3727	10.2938	0.0242	5.1591	6.2185	3.6261	1.1714	1.3492	1.5215	1.3231	3.2557	4.1	0.455	0.8981	0.89	2.4479	1.6522
0.636	1.0665	3.1104	2.4429	0.3112	13.367	1.4461	1.8182	0.3452	1.316	5.3276	3.4215	0.1073	9.0554	0.0979	1.8039	4.8159	2.4869	0.9934	2.328	1.9369	1.9829	1.4226	2.2135	1.1353	1.2124	0.8166	1.317	1.7359
0.5699	2.8368	3.0547	3.4101	0.9008	12.7496	2.8167	2.6887	0.5213	2.5937	5.7033	3.8221	0.2268	10.2955	0.0952	2.8276	6.5302	3.5636	1.2732	2.7041	2.6783	2.2581	0.8076	2.7119	0.643	1.5089	1.3241	3.0884	2.88
0.3817	1.3799	2.9599	3.32	0.4875	11.5672	1.8028	2.9073	0.3424	2.638	6.7515	4.1525	0.1467	10.5056	0.1556	0.6229	6.1606	3.5591	1.7073	3.1828	2.5564	3.2152	1.1229	2.6996	0.5358	1.3415	0.8126	2.6638	1.9049
0.5816	1.8339	3.9202	4.3249	1.1186	12.5935	2.6657	2.3169	0.9824	2.1695	6.13	3.6191	0.5242	9.0604	0.1073	1.9108	4.5025	2.5816	0.9628	4.0707	2.9559	1.7287	3.592	4.2993	1.4066	0.9327	0.9207	3.2432	1.7115
1.8124	2.2703	4.4202	3.8805	0.9642	14.1253	3.6227	1.9166	0.9879	1.5781	5.4751	4.214	0.4357	9.5112	0.0842	3.4187	6.4461	2.639	1.3312	3.4896	2.5716	1.7638	2.863	3.1622	1.0913	1.7174	1.4474	3.0264	1.8119
1.224	2.8873	4.1668	4.4821	1.1864	13.9411	3.7031	3.0189	0.3601	2.217	7.5408	3.9284	0.1418	9.7986	0.1034	5.4569	6.2613	3.836	1.916	4.1835	1.6644	2.2197	3.1333	3.478	3.5138	2.7712	1.4424	3.3217	2.2295
4.5181	3.9193	3.6336	5.2988	0.9843	13.0018	5.1196	2.5582	2.2731	3.3357	5.6047	3.6404	0.9986	8.9693	0.1347	3.9731	5.7681	4.6166	1.9013	4.5977	3.8498	3.2104	5.0332	4.425	3.3946	1.9019	1.9108	3.6484	2.4368
1.2139	2.7755	4.9014	4.2264	1.6046	13.4498	3.2862	2.0045	1.2666	3.0082	5.493	4.3636	0.4209	9.0543	0.6441	4.081	4.1238	4.316	1.5573	3.7463	2.6911	2.6057	2.7348	2.3457	2.5235	1.0981	1.1192	1.657	1.9161
0.323	3.319	2.8061	4.0194	0.3583	12.4295	1.6681	2.2155	3.1123	1.5405	6.2881	4.0827	0.232	10.3709	0.0232	0.8312	5.3078	2.5072	1.6867	3.0254	1.6236	2.3126	1.9473	3.0892	0.7827	1.9814	0.9425	3.2519	2.2032
1.4622	1.1334	3.6657	2.4826	0.1572	14.2337	1.8677	1.3505	0.7954	0.4915	6.4494	3.9069	0.1727	10.9803	0.0996	0.7883	4.756	2.6313	1.0523	2.4412	1.3076	1.7823	1.2324	2.1456	0.6011	1.3056	0.7769	3.2639	1.6832
2.6625	2.286	3.8204	3.5708	0.8124	14.3909	4.6543	2.2991	0.5496	0.9459	5.5681	4.1241	0.1937	9.563	0.2688	4.7888	5.3837	5.1325	1.8522	3.9371	3.2064	2.5416	3.9976	4.1313	1.8686	2.1065	1.0856	3.0519	2.3111
0.6626	1.6201	2.8467	2.8484	0.1729	14.3249	2.222	0.8635	0.2971	0.1104	4.6932	3.0688	0.2109	10.2527	0.0218	2.9959	4.1848	1.7603	0.6509	1.6083	1.3312	1.1752	0.8874	1.5478	1.1649	1.1169	0.61	1.113	1.8219
0.3263	3.66	3.3521	4.9102	1.4821	12.8481	3.4115	2.5617	0.4182	3.449	6.6619	3.8014	0.117	9.7128	0.0349	0.9416	4.7165	2.966	1.6203	4.3031	1.0843	2.8454	2.2308	2.8305	1.0542	1.2113	1.5407	3.9016	2.6657
3.1964	3.2331	3.4521	4.0739	1.3921	13.9648	6.9093	2.0427	0.4418	1.1113	4.5807	4.1176	0.1288	7.4106	0.1272	5.6186	5.774	4.4867	1.695	2.5492	2.9705	1.1829	3.6409	3.914	3.3732	1.4977	0.8979	3.2468	1.5246
3.001	2.4513	3.8689	3.5195	1.7169	14.1981	6.499	2.0432	2.2037	2.2442	5.5291	2.8971	0.2298	8.6824	0.026	3.1135	4.941	4.0123	0.7838	3.2949	1.1651	1.077	2.988	3.0679	3.6102	1.4562	1.5859	3.3384	2.4088
2.3109	2.5654	4.4008	3.8684	0.9941	11.7636	2.6885	2.9265	2.2544	3.165	6.4264	4.0986	0.5721	8.3704	0.6759	4.1582	6.1256	4.6121	2.2953	4.4236	4.3579	2.7657	4.238	3.9807	2.2699	1.6709	1.6752	3.6109	2.9473
2.3647	2.8552	4.2047	5.1095	2.3445	14.244	5.6877	1.9017	3.7501	2.6084	6.1509	3.8536	1.3304	8.413	0.2439	5.3502	6.3635	4.6395	1.609	4.3169	3.1142	2.0774	4.364	4.2694	2.3277	1.6108	1.8574	2.3787	2.6961
1.1063	1.4271	3.3226	3.6891	0.338	13.2855	1.7101	1.5148	0.3913	0.4559	4.5717	2.984	0.3142	10.2092	0.0831	1.6581	4.2689	2.8362	1.2333	2.3562	1.9787	1.7026	2.3094	2.8251	1.1004	1.2595	0.9727	1.7616	2.2133
1.0551	2.0387	3.1577	4.4408	0.6609	13.8767	3.6291	2.345	0.6348	2.5567	6.414	4.4045	0.1551	9.9545	0.167	1.6917	5.5054	3.0344	1.5386	3.5408	2.6828	3.2724	1.5464	2.9742	0.9736	1.6406	1.4727	3.363	2.7544
1.3305	2.1859	3.0357	3.8455	0.8994	14.5934	3.592	1.7743	0.4654	1.222	5.4569	3.2326	0.1525	10.3519	0.0607	1.0048	6.5625	2.9315	1.0991	2.8561	1.9805	2.6267	0.3142	2.7298	0.3992	1.4326	1.1223	2.4942	1.8918
1.1598	1.6038	3.637	4.2599	0.214	11.9284	2.24	2.095	1.7264	1.7194	6.1162	4.5995	0.3156	10.0904	0.058	1.4735	6.0699	2.7889	1.6963	3.492	2.0924	2.6612	2.2006	2.2303	1.0185	2.1141	0.9097	2.5956	1.7262
1.9169	2.3484	4.9186	4.5258	1.3398	13.1606	2.6471	2.6487	4.499	1.7224	6.2676	4.4387	0.6123	8.946	0.7991	4.396	5.838	4.6864	1.8435	3.7285	2.2472	2.1128	4.2545	4.1081	2.1068	1.4047	1.5245	3.3843	2.7392
0.3276	1.9604	3.5258	2.925	0.2437	12.2086	1.3384	1.97	0.9763	2.8016	6.381	3.711	0.2725	9.0656	0.0279	1.2371	5.419	4.0509	1.4494	2.8469	2.1064	2.3134	1.6126	2.179	0.4767	1.5613	0.8782	2.199	1.9335
0.2777	2.4063	3.1705	4.3787	0.6396	14.1121	4.5631	1.8211	0.9385	1.4167	6.403	2.9162	0.3658	10.4684	0.4545	1.7228	4.0975	3.2364	0.8953	3.4069	2.6197	1.5656	3.5912	3.3886	1.2516	0.9614	1.1797	2.4992	2.4098
1.9458	1.9768	4.287	5.0596	0.5079	11.82	2.9254	2.7433	0.627	3.2239	6.0129	3.3171	0.5488	9.565	0.0715	1.5203	7.0192	4.1216	1.9798	2.5316	2.2223	2.5998	4.4285	2.4462	1.8187	2.6104	0.7457	2.2906	1.7248
2.6739	2.8872	4.294	4.136	0.8371	11.946	3.3766	2.317	1.6557	2.5579	6.0836	4.2436	2.0073	7.3912	0.0956	3.164	7.0031	4.1315	1.5248	3.584	1.7031	3.0321	2.775	2.7491	1.049	2.444	2.4855	2.4458	2.1447
1.284	1.6603	3.9096	3.6955	0.2128	14.151	3.0471	1.6559	0.5616	1.9798	5.344	3.4006	0.2252	9.4695	0.211	2.561	4.7007	2.9233	1.5286	3.1103	2.5021	2.2	1.7415	3.1819	1.7066	2.0891	1.0242	2.3682	1.8806
0.2385	1.2299	2.1974	2.2337	0.2118	13.0089	2.0476	1.3384	0.2223	0.698	5.0789	2.1193	0.0457	9.8213	0.1286	0.9744	3.92	2.2091	0.6509	1.0971	1.4272	1.2133	1.1172	2.1043	0.8807	1.3523	0.466	1.5524	1.8212
3.3582	1.5379	2.8431	5.3218	0.4777	13.1473	3.8256	2.498	0.9212	1.3887	6.2156	3.983	0.7061	8.7791	1.8864	2.7525	7.9815	3.374	1.1332	3.836	3.0817	2.6436	3.8878	3.0466	2.1054	0.9829	1.6164	2.2676	2.2583
1.8485	1.9697	3.7148	3.6119	0.7969	14.5297	4.0065	1.9319	1.189	2.097	5.3881	3.937	0.3988	9.0546	0.3537	2.8188	5.2018	3.5127	2.1046	3.198	2.8889	2.5493	2.7829	3.1685	1.9194	1.8361	1.0847	2.9165	2.3174
0.4441	1.906	3.618	3.9681	0.4626	12.6155	2.4041	2.4025	0.6133	1.741	6.8457	4.7168	0.3434	10.3861	0.1301	0.7671	6.6928	1.377	2.5368	3.6686	3.0228	2.5552	2.2122	3.8959	0.7963	2.0446	1.2094	3.5362	2.5204
