age_group	mean_prev	Sex
25 to 29	0.0303	Male
30 to 34	0.04	Male
35 to 39	0.0532	Male
40 to 44	0.049	Male
45 to 49	0.0499	Male
50 to 54	0.0492	Male
55 to 59	0.0491	Male
60 to 64	0.0408	Male
65 to 69	0.0332	Male
70 to 74	0.028	Male
75 to 79	0.0298	Male
80 to 84	0.0222	Male
85 to 89	0.0222	Male
90 to 94	0.0222	Male
95 plus	0.0222	Male
25 to 29	0.0375	Female
30 to 34	0.0537	Female
35 to 39	0.0728	Female
40 to 44	0.087	Female
45 to 49	0.095	Female
50 to 54	0.0951	Female
55 to 59	0.0953	Female
60 to 64	0.0756	Female
65 to 69	0.0638	Female
70 to 74	0.057	Female
75 to 79	0.0579	Female
80 to 84	0.0349	Female
85 to 89	0.0349	Female
90 to 94	0.0349	Female
95 plus	0.0349	Female
