type	symbol	freq
BLCA	BRAF	0.0001
BLCA	CDKN2A	0.0002
BLCA	KRAS	0.0001
BLCA	PIK3CA	0.0007
BLCA	PTEN	0.0001
BLCA	TP53	0.0017
COAD	BRAF	0.0002
COAD	CDKN2A	0
COAD	KRAS	0.0007
COAD	PIK3CA	0.0006
COAD	PTEN	0.0002
COAD	TP53	0.0009
GBM	BRAF	0.0001
GBM	CDKN2A	0.0001
GBM	KRAS	0
GBM	PIK3CA	0.0006
GBM	PTEN	0.002
GBM	TP53	0.0022
LIHC	CDKN2A	0.0002
LIHC	KRAS	0.0001
LIHC	PIK3CA	0.0002
LIHC	PTEN	0.0002
LIHC	TP53	0.002
LUAD	BRAF	0.0002
LUAD	CDKN2A	0.0001
LUAD	KRAS	0.0008
LUAD	PIK3CA	0.0002
LUAD	PTEN	0.0001
LUAD	TP53	0.0014
LUSC	BRAF	0.0001
LUSC	CDKN2A	0.0004
LUSC	KRAS	0
LUSC	PIK3CA	0.0003
LUSC	PTEN	0.0003
LUSC	TP53	0.0023
PAAD	BRAF	0.0001
PAAD	CDKN2A	0.0013
PAAD	KRAS	0.004
PAAD	PIK3CA	0.0002
PAAD	TP53	0.0036
READ	BRAF	0.0001
READ	KRAS	0.0009
READ	PIK3CA	0.0004
READ	PTEN	0.0002
READ	TP53	0.0017
STAD	BRAF	0.0001
STAD	CDKN2A	0.0001
STAD	KRAS	0.0002
STAD	PIK3CA	0.0004
STAD	PTEN	0.0002
STAD	TP53	0.001
