gender	TP53
Male	3.024
Female	3.6809
Male	1.0276
Female	3.8039
Male	1.1297
Female	2.6812
Male	2.7976
Male	2.6682
Female	2.4323
Male	3.5191
Female	2.5156
Male	1.6178
Male	2.2146
Female	2.6727
Male	3.1367
Male	1.141
Female	3.137
Female	2.74
Male	3.0213
Male	2.4234
Male	1.9125
Male	1.4412
Female	3.8184
Male	2.2022
Male	3.5098
Female	4.3171
Female	2.7034
Male	3.9883
Female	2.5276
Female	4.1185
Female	2.3502
Female	1.6877
Female	3.0776
Male	3.3196
Male	2.9502
Male	2.5312
Female	3.1594
Male	2.3388
Male	3.0888
Female	2.3395
Female	2.6011
Male	2.9613
Female	2.7048
Male	2.656
Male	2.8155
Male	3.9467
Male	1.8196
Female	2.5389
Male	3.5472
Male	2.1127
Male	1.1287
Male	3.2908
Male	2.7314
Male	2.0179
Female	2.7578
Male	3.0392
Male	1.2947
Male	2.0267
Male	1.9088
Female	1.7198
Male	1.5979
Female	2.6361
Male	2.3294
Female	1.1081
Female	3.4724
Male	3.1626
Male	2.585
Female	1.9914
Male	2.2611
Male	1.8575
Male	4.5271
Male	3.2249
Male	4.0727
Female	1.8802
Male	2.2222
Female	2.9906
Male	3.1313
Male	2.3196
Female	2.876
Female	2.3833
Female	3.9955
Male	3.0671
Male	2.8937
Male	3.5521
Female	2.194
Male	1.5198
Male	3.2001
Female	3.2254
Male	3.3354
Female	2.7256
Female	3.2839
Male	1.4548
Male	2.1286
Female	3.2381
Male	2.3577
Female	0.8802
Female	3.4268
Female	2.8419
Female	2.5298
Female	2.2042
Male	2.3594
Male	2.5563
Male	1.9461
Male	1.9101
Male	3.4645
Female	4.2881
Male	0.8877
Male	2.7575
Male	3.9137
Male	2.0163
Female	3.4526
Female	3.3337
Male	3.3694
Male	3.1265
Male	2.4804
Male	2.6376
Male	3.768
Female	3.424
Male	2.0682
Male	1.5947
Female	3.2434
Male	2.6949
Female	1.8154
Female	2.3615
Female	3.7817
Female	2.8091
Female	2.476
Male	3.1358
Male	3.0898
Male	3.2524
Male	2.7839
Female	1.9951
Female	1.8821
Male	1.0722
Male	2.6568
Male	2.9634
Female	2.5234
Male	2.2226
Male	1.6607
Male	2.083
Male	3.5841
Female	3.0889
Female	2.5285
Male	1.1276
Female	2.0068
Male	2.5032
Male	2.3861
Male	1.4699
Female	3.7557
Female	2.1943
Female	3.1714
Female	2.6181
Female	3.1386
Female	2.9872
Male	2.2145
Male	0.6719
Male	2.3382
Male	1.8127
