gene	exprs	group
TP53	2.0671	Normal
KRAS	1.2672	Normal
BRAF	0.5926	Normal
EGFR	3.4656	Normal
TP53	1.9894	Normal
KRAS	1.3609	Normal
BRAF	0.4082	Normal
EGFR	2.5289	Normal
TP53	1.8467	Normal
KRAS	2.0275	Normal
BRAF	0.6095	Normal
EGFR	3.6798	Normal
TP53	2.1684	Normal
KRAS	1.2845	Normal
BRAF	0.5554	Normal
EGFR	3.1355	Normal
TP53	1.9836	Normal
KRAS	2.3143	Normal
BRAF	0.7756	Normal
EGFR	3.721	Normal
TP53	2.6565	Normal
KRAS	1.9353	Normal
BRAF	0.6045	Normal
EGFR	3.5206	Normal
TP53	2.0758	Normal
KRAS	1.7991	Normal
BRAF	0.5995	Normal
EGFR	3.4947	Normal
TP53	1.8343	Normal
KRAS	1.7507	Normal
BRAF	0.5941	Normal
EGFR	3.1471	Normal
TP53	1.9625	Normal
KRAS	2.1707	Normal
BRAF	0.6285	Normal
EGFR	3.3469	Normal
TP53	2.1027	Normal
KRAS	1.4688	Normal
BRAF	0.4664	Normal
EGFR	2.9737	Normal
TP53	1.7199	Normal
KRAS	1.8944	Normal
BRAF	0.4963	Normal
EGFR	3.0255	Normal
TP53	1.9836	Normal
KRAS	2.1462	Normal
BRAF	0.6978	Normal
EGFR	2.8226	Normal
TP53	1.9069	Normal
KRAS	1.7585	Normal
BRAF	0.5613	Normal
EGFR	2.915	Normal
TP53	2.2772	Normal
KRAS	2.2781	Normal
BRAF	0.6728	Normal
EGFR	4.0585	Normal
TP53	2.7115	Normal
KRAS	2.1086	Normal
BRAF	0.5587	Normal
EGFR	2.647	Normal
TP53	1.8114	Normal
KRAS	1.4541	Normal
BRAF	0.5191	Normal
EGFR	3.2582	Normal
TP53	3.2812	Normal
KRAS	2.2928	Normal
BRAF	0.712	Normal
EGFR	2.4803	Normal
TP53	1.8052	Normal
KRAS	1.5025	Normal
BRAF	0.3958	Normal
EGFR	3.0285	Normal
TP53	1.8786	Normal
KRAS	1.7924	Normal
BRAF	0.4991	Normal
EGFR	2.8493	Normal
TP53	1.8439	Normal
KRAS	1.4942	Normal
BRAF	0.4309	Normal
EGFR	2.8686	Normal
TP53	2.2613	Normal
KRAS	1.8092	Normal
BRAF	0.5731	Normal
EGFR	3.6117	Normal
TP53	1.7341	Normal
KRAS	1.7047	Normal
BRAF	0.44	Normal
EGFR	3.2104	Normal
TP53	2.1005	Normal
KRAS	1.9096	Normal
BRAF	0.5763	Normal
EGFR	3.8593	Normal
TP53	1.876	Normal
KRAS	0.7548	Normal
BRAF	0.2894	Normal
EGFR	2.4815	Normal
TP53	1.8488	Normal
KRAS	1.1518	Normal
BRAF	0.3275	Normal
EGFR	2.0096	Normal
TP53	2.2147	Normal
KRAS	1.6473	Normal
BRAF	0.6941	Normal
EGFR	3.3678	Normal
TP53	1.9414	Normal
KRAS	1.7517	Normal
BRAF	0.5709	Normal
EGFR	3.096	Normal
TP53	2.2715	Normal
KRAS	1.8686	Normal
BRAF	0.68	Normal
EGFR	3.2056	Normal
TP53	2.0009	Normal
KRAS	2.3937	Normal
BRAF	0.6996	Normal
EGFR	3.4198	Normal
TP53	2.2092	Normal
KRAS	1.5068	Normal
BRAF	0.6226	Normal
EGFR	3.5087	Normal
TP53	2.1859	Normal
KRAS	2.0037	Normal
BRAF	0.6115	Normal
EGFR	3.5403	Normal
TP53	2.7088	Normal
KRAS	2.1286	Normal
BRAF	0.8966	Normal
EGFR	2.9734	Normal
TP53	1.6853	Normal
KRAS	2.2108	Normal
BRAF	0.5876	Normal
EGFR	3.2436	Normal
TP53	2.2443	Normal
KRAS	2.1906	Normal
BRAF	0.6757	Normal
EGFR	3.3514	Normal
TP53	2.5593	Normal
KRAS	1.894	Normal
BRAF	0.7904	Normal
EGFR	3.434	Normal
TP53	2.1925	Normal
KRAS	1.5799	Normal
BRAF	0.5558	Normal
EGFR	2.5487	Normal
TP53	2.0646	Normal
KRAS	1.8698	Normal
BRAF	0.5974	Normal
EGFR	3.7307	Normal
TP53	2.6454	Normal
KRAS	1.7281	Normal
BRAF	0.7165	Normal
EGFR	2.687	Normal
TP53	1.9805	Normal
KRAS	2.547	Normal
BRAF	0.6339	Normal
EGFR	4.0192	Normal
TP53	2.0258	Normal
KRAS	1.5451	Normal
BRAF	0.4975	Normal
EGFR	2.9838	Normal
TP53	2.1728	Normal
KRAS	2.0041	Normal
BRAF	0.6642	Normal
EGFR	3.2681	Normal
TP53	2.2277	Normal
KRAS	1.5243	Normal
BRAF	0.6571	Normal
EGFR	3.4145	Normal
TP53	1.6322	Normal
KRAS	1.101	Normal
BRAF	0.4243	Normal
EGFR	2.1144	Normal
TP53	2.4198	Normal
KRAS	1.8765	Normal
BRAF	0.6589	Normal
EGFR	3.3075	Normal
TP53	2.4226	Normal
KRAS	1.9419	Normal
BRAF	0.6998	Normal
EGFR	3.0533	Normal
TP53	1.9922	Normal
KRAS	2.2125	Normal
BRAF	0.6005	Normal
EGFR	3.3115	Normal
TP53	2.2189	Normal
KRAS	1.9221	Normal
BRAF	0.6378	Normal
EGFR	3.1582	Normal
TP53	2.1493	Normal
KRAS	1.4244	Normal
BRAF	0.4208	Normal
EGFR	3.141	Normal
TP53	2.2451	Normal
KRAS	1.6517	Normal
BRAF	0.4777	Normal
EGFR	2.7166	Normal
TP53	2.556	Normal
KRAS	2.052	Normal
BRAF	0.7796	Normal
EGFR	2.8	Normal
TP53	1.9914	Tumor
KRAS	1.4169	Tumor
BRAF	0.626	Tumor
EGFR	3.166	Tumor
TP53	2.6604	Tumor
KRAS	1.05	Tumor
BRAF	0.6284	Tumor
EGFR	2.1975	Tumor
TP53	3.8184	Tumor
KRAS	2.2874	Tumor
BRAF	1.2387	Tumor
