ABCC1	ACACA	ACO1	ACSL3	CARS1	CS	EMC2	FANCD2	G6PD	HSBP1	IREB2	LOX	LPCAT3	NCOA4	NFE2L2	NFS1	NOX4	PEBP1	PTGS2	SLC1A5	SLC40A1	TFRC	ZEB1
0.891	0.7879	4.6697	2.3701	1.3331	3.3455	2.7626	0.3978	2.2421	2.2204	1.728	0.4021	0.8379	5.5546	4.3337	2.8334	0.201	10.6461	0.1716	1.7606	6.0444	3.1398	1.3225
2.885	1.5432	4.4563	3.5332	1.9998	6.2034	2.9936	1.2435	3.0089	3.7299	2.8011	1.4786	1.5093	6.0667	3.9855	3.1698	0.4901	8.2784	0.7556	1.8898	6.3644	5.5645	1.6589
0.636	1.0665	4.108	3.1104	1.8989	2.4429	2.67	0.3112	1.4461	2.3491	1.8182	0.3452	1.316	5.3276	3.4215	1.8748	0.1073	9.0554	0.0979	1.8039	4.8159	2.4869	0.9934
1.0438	1.2309	4.1918	3.1603	1.4653	2.9396	2.2301	0.1382	1.1694	2.5315	2.0542	2.4782	2.1682	5.9617	4.5988	2.6878	0.0996	10.0398	0.9577	1.5062	6.4023	1.9595	1.9475
1.7377	1.9268	4.2576	3.9183	1.7719	3.513	3.636	0.3526	3.8951	2.8504	1.7482	1.272	1.8733	5.7074	3.968	2.3712	0.4685	9.3524	0.4816	2.455	5.9551	3.2023	2.1448
0.2582	1.9267	4.5517	4.233	1.7291	3.5906	2.5098	0.4476	2.335	2.4104	1.8711	0.3361	2.8095	6.5346	4.1943	2.6819	0.1798	10.1854	0.0305	1.3617	5.5656	3.9004	1.2008
0.6475	2.8076	3.5166	3.5237	1.7714	3.4456	3.0267	0.6474	1.9615	3.229	2.215	0.9541	0.8526	6.6779	2.9122	2.9683	0.1694	10.9011	0.0548	0.8128	5.1655	2.7837	1.4632
0.6623	0.9662	3.8032	3.1071	1.7847	2.897	2.7874	0.2927	1.9094	2.4133	1.7128	0.66	1.161	5.3777	3.3855	2.046	0.0678	9.4389	0.1316	2.566	6.599	1.8125	1.3379
0.323	3.319	4.182	2.8061	2.7558	4.0194	2.592	0.3583	1.6681	2.6225	2.2155	3.1123	1.5405	6.2881	4.0827	2.6407	0.232	10.3709	0.0232	0.8312	5.3078	2.5072	1.6867
0.2192	1.7457	4.3406	2.6525	1.8524	3.8568	2.6202	0.5698	1.9445	2.3682	2.6733	0.3455	1.3053	6.4067	4.6358	2.5691	0.0835	10.1224	0.0274	0.5936	5.5343	3.8358	1.785
0.6166	1.7458	3.7453	3.3335	1.5098	3.807	2.1422	0.6451	2.8905	2.6002	2.0046	0.7631	2.2298	5.9213	3.1584	3.2357	0.0569	10.0701	0.0481	2.1502	3.8398	4.356	0.945
2.3109	2.5654	3.7309	4.4008	1.7761	3.8684	2.9507	0.9941	2.6885	2.9981	2.9265	2.2544	3.165	6.4264	4.0986	2.7936	0.5721	8.3704	0.6759	4.1582	6.1256	4.6121	2.2953
0.5816	1.8339	4.3453	3.9202	2.2706	4.3249	2.7291	1.1186	2.6657	2.8108	2.3169	0.9824	2.1695	6.13	3.6191	2.7551	0.5242	9.0604	0.1073	1.9108	4.5025	2.5816	0.9628
0.2385	1.2299	3.6474	2.1974	2.8814	2.2337	1.8002	0.2118	2.0476	2.382	1.3384	0.2223	0.698	5.0789	2.1193	1.4367	0.0457	9.8213	0.1286	0.9744	3.92	2.2091	0.6509
1.5958	1.5614	3.1961	3.9783	2.2471	3.7247	3.3567	0.6335	2.6241	2.801	1.3459	0.3092	1.3579	6.0625	3.2998	2.838	0.1018	10.2253	0	0.6411	5.9824	1.7577	1.3161
0.7821	1.3367	4.4934	2.5229	1.5554	3.438	2.5771	0.2764	1.1283	2.3508	2.2549	0.5464	1.637	6.0863	3.9848	2.0733	0.1366	9.9587	0.224	1.2587	5.7824	3.0439	1.7629
0.5948	3.1286	4.0618	3.6837	1.5085	3.6003	3.6402	0.6508	1.3221	2.851	1.6012	0.1002	2.0568	5.9352	4.8111	2.6658	0.1433	10.178	0.0046	0.4512	5.5513	3.5985	1.3516
2.2406	2.7926	3.4668	3.9808	2.851	4.5342	2.1874	1.2711	5.7256	3.0663	1.283	4.5105	2.2559	5.6962	2.8063	2.7773	0.503	8.7342	0.1264	3.8769	5.4541	3.4455	1.232
3.9065	2.7272	4.1217	3.8456	2.547	5.8685	2.6731	2.0558	4.6308	2.9008	3.1748	1.321	1.6968	5.799	4.669	2.5057	0.5357	6.8957	0.4015	5.1177	6.1101	4.6654	1.7886
0.9004	2.8098	3.4911	3.6732	2.3668	3.8325	3.6429	1.3827	3.7161	3.7087	2.5116	1.7687	2.6869	5.3168	4.3294	2.887	0.3125	9.2416	0.2169	6.5953	5.7057	2.6802	1.9022
0.2181	1.0274	4.8542	2.0838	1.6664	2.5225	2.3839	0.6435	2.7043	3.4287	1.1543	0.1076	0.9141	5.0612	3.1477	2.4512	0.082	10.3102	0.0069	1.0496	4.4027	3.0432	1.0425
3.5019	2.2274	3.9996	4.4258	2.8055	5.6192	2.8369	0.8824	3.2891	3.4498	2.8816	1.5702	2.6194	6.1782	4.4051	2.3411	0.5488	5.1199	0.2448	2.9672	5.6819	5.666	2.8605
0.4062	1.6957	3.8215	3.4106	1.79	2.8587	2.3401	0.0909	1.3121	3.0799	1.978	3.2022	1.1116	5.8037	4.1735	3.0287	0.2706	10.4083	0.0995	0.7361	5.5646	1.3874	1.3719
1.3167	3.1396	3.5686	4.6535	1.6826	3.711	3.0277	1.2004	3.5153	2.3602	2.4972	1.1626	3.3817	6.5604	3.8401	2.1193	0.3202	8.9307	0.1519	4.279	5.3456	4.3486	1.9507
0.1943	4.3566	5.5136	4.2156	2.4954	3.7129	2.6628	0.9652	2.4556	2.7461	2.3622	0.2328	4.3445	6.3842	4.9596	2.9011	0.0892	10.0949	0	3.9772	5.9671	3.9099	1.3537
2.7158	2.215	3.3574	4.4884	2.3659	4.2438	3.2491	1.7073	3.4114	2.98	3.4027	2.381	2.0986	6.6357	4.7541	2.2404	0.4101	8.2576	0.9775	3.6959	7.0102	4.1299	2.6294
0.5528	1.2023	5.5694	2.535	2.2432	2.8712	3.1514	1.0221	1.5164	2.1826	1.6612	0.7196	1.4391	5.3774	3.2482	1.8104	0.2367	9.7751	0.0396	1.5183	5.1977	4.2392	0.805
