patient	sample_type	BRCA1
TCGA-A7-A0CE	Tumor	4.0549
TCGA-A7-A0CE	Normal	1.5758
TCGA-A7-A0CH	Tumor	2.3981
TCGA-A7-A0CH	Normal	1.1641
TCGA-A7-A0D9	Normal	1.6466
TCGA-A7-A0D9	Tumor	2.2144
TCGA-A7-A0DB	Normal	1.8564
TCGA-A7-A0DB	Tumor	1.5481130368
TCGA-A7-A0DC	Normal	1.7316
TCGA-A7-A0DC	Tumor	2.1191302723
TCGA-A7-A13E	Normal	1.5216
TCGA-A7-A13E	Tumor	2.3713881663
TCGA-A7-A13F	Tumor	4.6154
TCGA-A7-A13F	Normal	1.5902
TCGA-A7-A13G	Tumor	2.2579171186
TCGA-A7-A13G	Normal	1.2516
TCGA-AC-A23H	Normal	1.412
TCGA-AC-A23H	Tumor	2.7826
TCGA-AC-A2FB	Tumor	3.4739
TCGA-AC-A2FB	Normal	1.6695
TCGA-AC-A2FF	Normal	2.5036
TCGA-AC-A2FF	Tumor	2.3451
TCGA-AC-A2FM	Normal	0.058
TCGA-AC-A2FM	Tumor	3.5779
TCGA-BH-A0AU	Tumor	3.6669
TCGA-BH-A0AU	Normal	2.0111
TCGA-BH-A0AZ	Tumor	1.9786
TCGA-BH-A0AZ	Normal	2.004
TCGA-BH-A0B3	Normal	2.1345
TCGA-BH-A0B3	Tumor	2.6783
TCGA-BH-A0B5	Tumor	3.652
TCGA-BH-A0B5	Normal	0.2998
TCGA-BH-A0B7	Tumor	1.6093
TCGA-BH-A0B7	Normal	2.4857
TCGA-BH-A0B8	Tumor	2.9071
TCGA-BH-A0B8	Normal	1.0779
TCGA-BH-A0BA	Tumor	2.9747
TCGA-BH-A0BA	Normal	2.0535
TCGA-BH-A0BC	Tumor	1.5165
TCGA-BH-A0BC	Normal	1.3846
TCGA-BH-A0BJ	Normal	2.004
TCGA-BH-A0BJ	Tumor	2.0325
TCGA-BH-A0BM	Tumor	0.8647
TCGA-BH-A0BM	Normal	1.5115
TCGA-BH-A0BQ	Normal	2.4727
TCGA-BH-A0BQ	Tumor	2.5658
TCGA-BH-A0BS	Normal	1.7229
TCGA-BH-A0BS	Tumor	2.5756
TCGA-BH-A0BT	Normal	1.5998
TCGA-BH-A0BT	Tumor	1.5998
TCGA-BH-A0BV	Normal	1.9527
TCGA-BH-A0BV	Tumor	3.3105
TCGA-BH-A0BW	Normal	2.8661
TCGA-BH-A0BW	Tumor	3.9012
TCGA-BH-A0BZ	Normal	1.7995
TCGA-BH-A0BZ	Tumor	3.2127
TCGA-BH-A0C0	Normal	1.4441
TCGA-BH-A0C0	Tumor	0.8805
TCGA-BH-A0C3	Tumor	3.1011
TCGA-BH-A0C3	Normal	1.642
TCGA-BH-A0DD	Tumor	4.5964
TCGA-BH-A0DD	Normal	2.1147
TCGA-BH-A0DG	Tumor	1.5465
TCGA-BH-A0DG	Normal	2.0289
TCGA-BH-A0DH	Tumor	2.5213
TCGA-BH-A0DH	Normal	0.4125
TCGA-BH-A0DK	Tumor	1.2209
TCGA-BH-A0DK	Normal	2.3451
TCGA-BH-A0DL	Tumor	3.3264
TCGA-BH-A0DL	Normal	2.3164
TCGA-BH-A0DO	Normal	1.7617
TCGA-BH-A0DO	Tumor	2.0569
TCGA-BH-A0DP	Normal	1.6281
TCGA-BH-A0DP	Tumor	2.5561
TCGA-BH-A0DQ	Tumor	2.9784
TCGA-BH-A0DQ	Normal	1.9675
TCGA-BH-A0DT	Tumor	2.3251
TCGA-BH-A0DT	Normal	1.9302
TCGA-BH-A0DV	Tumor	1.6374
TCGA-BH-A0DV	Normal	1.8918
TCGA-BH-A0DZ	Tumor	1.5266
TCGA-BH-A0DZ	Normal	1.7185
TCGA-BH-A0E0	Tumor	1.8918
TCGA-BH-A0E0	Normal	0.8327
TCGA-BH-A0E1	Tumor	3.5584
TCGA-BH-A0E1	Normal	1.0503
TCGA-BH-A0H5	Tumor	2.1702
TCGA-BH-A0H5	Normal	1.9264
TCGA-BH-A0H7	Tumor	2.3019
TCGA-BH-A0H7	Normal	1.9895
TCGA-BH-A0H9	Normal	0.6699
TCGA-BH-A0H9	Tumor	3.0323
TCGA-BH-A0HA	Tumor	1.3567
TCGA-BH-A0HA	Normal	2.2543
TCGA-BH-A0HK	Tumor	1.3454
TCGA-BH-A0HK	Normal	1.766
TCGA-BH-A18J	Normal	2.2299
TCGA-BH-A18J	Tumor	1.9675
TCGA-BH-A18K	Tumor	2.2452
TCGA-BH-A18K	Normal	1.816
TCGA-BH-A18L	Tumor	4.327
TCGA-BH-A18L	Normal	1.4911
TCGA-BH-A18M	Tumor	3.0876
TCGA-BH-A18M	Normal	2.0673
TCGA-BH-A18N	Normal	1.8484
TCGA-BH-A18N	Tumor	3.1327
TCGA-BH-A18P	Tumor	3.2766
TCGA-BH-A18P	Normal	0.6145
TCGA-BH-A18Q	Normal	1.9638
TCGA-BH-A18Q	Tumor	2.8361
TCGA-BH-A18R	Tumor	2.8361
TCGA-BH-A18R	Normal	1.6187
TCGA-BH-A18S	Normal	1.1316
TCGA-BH-A18S	Tumor	2.8055
TCGA-BH-A18U	Tumor	4.5167
TCGA-BH-A18U	Normal	1.9149
TCGA-BH-A18V	Tumor	4.3119
TCGA-BH-A18V	Normal	0.3907
TCGA-BH-A1EN	Normal	0.9191
TCGA-BH-A1EN	Tumor	1.9859
TCGA-BH-A1EO	Normal	1.2147
TCGA-BH-A1EO	Tumor	2.8402
TCGA-BH-A1ET	Normal	1.3397
TCGA-BH-A1ET	Tumor	2.4117
TCGA-BH-A1EU	Tumor	2.2901
TCGA-BH-A1EU	Normal	1.4859
TCGA-BH-A1EV	Normal	2.5828
TCGA-BH-A1EV	Tumor	3.3321
TCGA-BH-A1EW	Tumor	3.7539
TCGA-BH-A1EW	Normal	2.8137
TCGA-BH-A1F0	Tumor	3.7475
TCGA-BH-A1F0	Normal	1.0915
TCGA-BH-A1F2	Normal	1.5165
TCGA-BH-A1F2	Tumor	2.6828
TCGA-BH-A1F6	Tumor	2.4171
TCGA-BH-A1F6	Normal	1.4704
TCGA-BH-A1F8	Tumor	3.7039
TCGA-BH-A1F8	Normal	1.9786
TCGA-BH-A1FB	Tumor	2.2543
TCGA-BH-A1FB	Normal	1.7185
TCGA-BH-A1FC	Tumor	3.2602
TCGA-BH-A1FC	Normal	1.2085
TCGA-BH-A1FD	Tumor	2.6487
TCGA-BH-A1FD	Normal	0.7321
TCGA-BH-A1FE	Normal	2.4649
TCGA-BH-A1FE	Tumor	4.0662
TCGA-BH-A1FG	Tumor	1.816
TCGA-BH-A1FG	Normal	0.4552
TCGA-BH-A1FH	Tumor	1.3956
TCGA-BH-A1FH	Normal	1.2875
TCGA-BH-A1FJ	Normal	1.196
TCGA-BH-A1FJ	Tumor	4.5964
TCGA-BH-A1FM	Tumor	2.4063
