WT	KO	group	symbol
228.6667	178.8647	None	Hsd17b11
40.172	36.4472	None	Vamp7
7.0042	15.4931	None	Rsad2
12.2042	18.157	None	Pold3
777.5466	545.7349	None	Pcbd1
0.8902	2.7362	Up	Mcm5
6.2722	7.0079	None	Rasal2
7.6164	3.9421	None	Snrpe
2639.0106	2368.2053	None	Pgrmc1
17.6747	18.7368	None	Rgl3
0.052	0.5717	None	Lexm
22.6794	70.3582	None	Ifrd1
8.2942	10.2419	None	Dmap1
57.3415	110.2465	None	Rab32
166.4458	115.4759	None	Cyc1
5.4623	15.9367	Up	Cmklr1
7.6631	9.6175	None	Ncoa1
2.4323	2.9502	None	Slco3a1
12.3164	13.4684	None	Trim23
11.0113	7.3804	None	Nrp2
31.6847	34.9026	None	Fbxo8
610.7393	1458.265	Up	Actb
7.2196	17.1641	Up	Gm11437
2.0333	12.2348	Up	Fblim1
0.1642	1.4114	None	2700099C18Rik
20.2498	18.065	None	Cmtr1
1.7738	3.673	None	Gm15270
3.7715	6.8875	None	Prkd2
27.7852	33.7594	None	Cpne1
18.8361	25.3477	None	Imp4
38.7091	30.1057	None	Cdk18
1.2527	3.4232	None	Gm14207
1.775	0.1406	Down	Slc13a2
6.1278	7.2415	None	Vps13b
0.4871	0.787	None	BC049352
8.0538	16.6327	None	Epn2
6.1857	7.6189	None	Hic1
10.1335	9.9635	None	Phf10
9.7639	11.9503	None	Ccz1
8.9818	12.5201	None	Klhdc4
46.6937	42.7286	None	Eif2s2
29.4529	39.18	None	Ppp2r2d
0.2684	0.6686	None	4931403G20Rik
5.2674	4.2795	None	Gm16675
183.8971	331.1708	None	Entpd5
55.9451	51.744	None	Keap1
208.1998	230.1338	None	Mrps34
9.3011	12.8259	None	Papss1
1496.7505	984.8328	None	Cat
2.0585	2.0662	None	A330069E16Rik
8.0157	6.4419	None	Zfp938
5.1731	11.0096	None	Mir6956
198.2581	138.055	None	Fcgrt
13.6805	14.5728	None	Swsap1
22.2612	26.9612	None	Nup62
5.1547	13.7256	Up	Myef2
5.729	6.1006	None	Etaa1
7.3753	3.5286	Down	Cpsf4l
183.4797	172.237	None	Gns
0.0367	0.3189	None	Prdm5
2.3501	1.3834	None	Gm14434
35.0118	79.1354	Up	Cotl1
27.1022	30.4499	None	Ppp2cb
1.0962	0.5199	None	H3c6
0.2269	0.5939	None	Rtl6
150.2703	139.9668	None	Dnajc3
52.0269	62.6242	None	Fam234a
0.3898	1.313	None	Sprr2a1
117.2875	135.9663	None	Bzw1
0.1889	0.1984	None	Grin2d
43.205	38.7999	None	Dda1
121.5047	79.6371	None	Bphl
2.6575	2.2975	None	Helq
37.2345	23.3488	None	1700066M21Rik
1.9848	4.1419	None	Ngp
4.9584	3.2927	None	Elp6
26.2037	35.2305	None	Bbc3
3.5171	14.2586	Up	Ms4a6c
50.5563	32.574	None	Snora70
0.0181	0.1747	None	Pcdha5
16.1312	20.6076	None	Map3k10
45.7377	35.3865	None	Car8
17.3211	16.902	None	Get4
3.741	2.8111	None	2700097O09Rik
38.8547	29.6535	None	Tfam
297.4569	179.5639	None	Chchd10
0.9527	3.2823	Up	Atp1b2
0.3286	0.1402	None	Edaradd
70.0642	56.1047	None	Anpep
76.7555	65.0048	None	LTO1
25.086	27.8284	None	Zyg11b
14.6607	31.4475	None	Ptgs1
12.4365	19.4302	None	Tsc22d2
0.5388	1.2271	None	Hspb7
15.7892	14.5869	None	Phf2
44.1889	32.1523	None	Prkaa2
10.849	13.8196	None	Fam160b2
42.3614	33.5004	None	Ift20
16.5406	23.5903	None	Pop4
78.0723	89.1764	None	Acp1
0.1026	0.0732	None	Stxbp5l
29.6537	37.7033	None	Msantd4
20.6677	30.0528	None	Zmiz1
10.1682	16.1768	None	Septin10
34.1621	65.2645	None	Dsp
0.34	0.4453	None	Zfp462
3.1437	3.7301	None	Smn1
1.1029	1.1729	None	Nova2
28.104	46.7708	None	Kras
12.2721	14.1776	None	Stoml2
7.0339	2.5629	None	AY074887
13.4425	18.2336	None	Tmem165
19.3798	14.7764	None	Zfp574
0.4048	0.9882	None	Dnaaf3
18.9999	1.2798	None	Mir3112
9.3611	8.0852	None	Fbxo7
7.2046	9.4267	None	Thop1
6.9297	1.95	Down	Sult1c2
0.6732	0.4929	None	Ttc6
1.1582	1.7907	None	6430571L13Rik
2.4298	68.281	Up	Serpinb6b
6.3355	11.1842	None	Mr1
52.2832	50.1933	None	Hnrnpa3
18.8597	16.2191	None	Mrpl17
