age_group	mean_prev	Sex
25 to 29	0.1017	Male
30 to 34	0.1255	Male
35 to 39	0.1479	Male
40 to 44	0.1596	Male
45 to 49	0.1607	Male
50 to 54	0.1622	Male
55 to 59	0.167	Male
60 to 64	0.1678	Male
65 to 69	0.1541	Male
70 to 74	0.1435	Male
75 to 79	0.1304	Male
80 to 84	0.1193	Male
85 to 89	0.1266	Male
90 to 94	0.1372	Male
95 plus	0.1423	Male
25 to 29	0.1314	Female
30 to 34	0.1626	Female
35 to 39	0.1945	Female
40 to 44	0.2182	Female
45 to 49	0.2255	Female
50 to 54	0.2364	Female
55 to 59	0.2473	Female
60 to 64	0.2559	Female
65 to 69	0.2443	Female
70 to 74	0.2343	Female
75 to 79	0.2136	Female
80 to 84	0.1672	Female
85 to 89	0.1699	Female
90 to 94	0.1796	Female
95 plus	0.1801	Female
