symbol	cate	logFC	sign	adj.P.Val
Apold1	X1H - S1H	2.6944	Up	1.7079e-08
Il7	X1H - S1H	-5.848	Down	0
Sik1	X1H - S1H	1.4815	Up	0.0011
Thbd	X1H - S1H	1.4648	Up	0.0011
Akap12	X1H - S1H	1.8978	Up	0.0035
Adamts1	X1H - S1H	1.1732	Up	0.0035
Gm17132	X1H - S1H	2.1657	Up	0.0035
Dos	X1H - S1H	1.5031	Up	0.0035
Inhbb	X1H - S1H	2.0018	Up	0.0035
Zfp612	X1H - S1H	1.0272	Up	0.0035
Dact1	X1H - S1H	1.3526	Up	0.0045
Sema4c	X1H - S1H	1.1673	Up	0.0062
Dusp4	X1H - S1H	1.5906	Up	0.0062
Wdr92	X1H - S1H	1.08	Up	0.0069
Nodal	X1H - S1H	-4.7376	Down	0.0076
Hey2	X1H - S1H	-6.3524	Down	0.0134
Rcan1	X1H - S1H	1.2733	Up	0.0162
Lipg	X1H - S1H	1.7252	Up	0.0162
Ccnl1	X1H - S1H	1.1521	Up	0.0167
Trbv16	X1H - S1H	-5.9079	Down	0.0167
Gm17131	X1H - S1H	1.0322	Up	0.0202
Rad54l	X1H - S1H	5.159	Up	0.0202
Tiparp	X1H - S1H	1.3072	Up	0.0202
Bcl2l11	X1H - S1H	1.1152	Up	0.0289
Atp1b1	X1H - S1H	1.0403	Up	0.031
Apbb3	X1H - S1H	1.1	Up	0.031
Bhlhe40	X1H - S1H	1.043	Up	0.0314
Klf4	X1H - S1H	1.4031	Up	0.0349
Nr4a1	X1H - S1H	2.0669	Up	0.0381
Pxmp4	X4H - S4H	1.8695	Up	1.4584e-11
Lrig2	X4H - S4H	1.6407	Up	1.5796e-11
Rab3a	X4H - S4H	-2.4716	Down	6.5564e-11
BC021891	X4H - S4H	-1.7681	Down	7.1997e-11
4930586N03Rik	X4H - S4H	6.3991	Up	7.1997e-11
Gm8399	X4H - S4H	3.5892	Up	3.0272e-10
Tef	X4H - S4H	-2.5856	Down	3.8861e-10
AC163694.1	X4H - S4H	3.5583	Up	4.8059e-10
Actg1	X4H - S4H	3.253	Up	7.5577e-10
Actg-ps1	X4H - S4H	3.6175	Up	8.2559e-10
Gm12715	X4H - S4H	3.2518	Up	8.9663e-10
B230312A22Rik	X4H - S4H	-1.5862	Down	1.4015e-09
Cyp4f17	X4H - S4H	1.4939	Up	1.4015e-09
Pycrl	X4H - S4H	-1.2545	Down	1.462e-09
C2cd4a	X4H - S4H	8.1611	Up	2.4143e-09
0610005C13Rik	X4H - S4H	-1.411	Down	2.8272e-09
Zfp524	X4H - S4H	-1.1906	Down	3.7751e-09
C130074G19Rik	X4H - S4H	-1.129	Down	4.0527e-09
Camk2n1	X4H - S4H	-1.482	Down	5.3585e-09
Epb4.1	X4H - S4H	1.2865	Up	7.376e-09
Cep170	X4H - S4H	1.3336	Up	8.9305e-09
Dll4	X4H - S4H	-2.6413	Down	8.9305e-09
Hexim1	X4H - S4H	-1.3174	Down	1.0951e-08
Acox1	X4H - S4H	1.1307	Up	1.1755e-08
Lnx2	X4H - S4H	1.4327	Up	1.3382e-08
