symbol	log2FC	qvalue	group
Ccdc50	0.0209	0.9487	None
Hmgcs1	0.4255	0.2555	None
Rbmx2	0.454	0.6732	None
Mdh1	-0.5992	0.0438	None
Gm16938	-0.5796	0.8333	None
Armc8	-0.1556	0.7111	None
Slc45a4	-0.2565	0.5066	None
Znrf2	0.7172	0.0005	None
Rnf185	-0.3348	0.2268	None
Rpl19	-0.0329	0.973	None
Poc1b	-0.5054	0.4367	None
Rilp	-0.1961	0.6165	None
Tmem156	-0.0537	0.9791	None
Zfp354c	-0.3426	0.7757	None
Tmem115	-0.0907	0.7898	None
Mmgt2	1.7071	0.0008	Up
Sptssa	0.5771	0.0025	None
Tefm	-0.3173	0.4916	None
Pcdha9	2.9508	0.394	None
Ccdc84	-0.1997	0.7479	None
Glcci1	0.2059	0.6994	None
Zfp148	0.0055	0.9874	None
Pank4	-0.3447	0.5891	None
Selenow	-0.408	0.2632	None
Letm2	-0.1731	0.8571	None
Kbtbd7	-0.269	0.4087	None
Crlf2	0.9214	0.0337	None
Gm2002	-0.0504	0.9758	None
Clic5	2.4808	3.1559e-09	Up
Mtmr2	-0.0875	0.7902	None
Secisbp2l	0.216	0.331	None
Dazap1	-0.1666	0.6024	None
Serpina1a	-0.9695	4.2443e-08	None
Gk2	0.0819	0.9473	None
Rcc1	0.5406	0.1159	None
Fhad1	-3.3734	0.0001	Down
Cage1	0.0835	0.954	None
Gm9780	0.2547	0.7767	None
Rab33b	-0.0602	0.8926	None
Cpxm1	3.2071	3.3046e-08	Up
Acss1	0.734	0.5326	None
Plppr5	0.2769	0.9206	None
Hspg2	0.4303	0.1079	None
Ntn3	-0.9412	0.0042	None
D4Ertd617e	-0.8906	0.2519	None
Prcc	-0.2386	0.4795	None
Mmp14	1.5202	3.2502e-20	Up
Gm5148	-0.306	0.093	None
Mob3c	-0.7907	0.0023	None
Rgs9	-0.5293	0.7471	None
Fbh1	-0.1038	0.8442	None
Ndufv2	-0.065	0.9342	None
Stk35os1	-0.4246	0.5966	None
Nabp2	-0.0969	0.8433	None
Mir6385	-0.6355	0.8723	None
Klrg2	-1.0745	0.6423	None
Rtbdn	-0.1625	0.947	None
Rictor	0.1307	0.6909	None
Kcnq1ot1	-0.3333	0.5559	None
Dhx35	0.0834	0.9144	None
Cog7	-0.2401	0.5666	None
Pcdhga11	0.5062	0.0402	None
Lama1	-0.7457	0.5967	None
Fbrs	0.2722	0.2974	None
Trem1	4.198	0.0272	Up
Plscr2	-0.0306	0.9583	None
Ufc1	-0.0215	0.9613	None
Lrrc41	0.3932	0.1391	None
Slc39a1	0.454	0.0144	None
Lax1	-0.2161	0.8882	None
Gm7819	0.7043	0.5945	None
AI837181	-0.0188	0.9644	None
Gm10416	-0.1333	0.947	None
C920006O11Rik	-0.3792	0.4824	None
Ebna1bp2	-0.7302	0.0382	None
Hsp90aa1	-0.016	0.9705	None
Zfp966	-1.4902	0.0003	Down
Mrps16	-0.1428	0.8327	None
Tnik	-2.5772	1.6555e-07	Down
Usp10	0.2302	0.4013	None
Ptpn23	1.1801	3.622e-09	Up
Col28a1	4.0993	0.152	None
2610008E11Rik	-0.5767	0.0718	None
Zfand4	0.1495	0.7604	None
Zfp84	-0.3603	0.4442	None
Derl3	-2.2255	0.0005	Down
Dmwd	0.7354	0.0001	None
Smim1	0.111	0.7557	None
Abce1	-0.2796	0.272	None
Atg5	-0.6925	0.0015	None
Tmem37	0.0024	0.9954	None
Nfkb1	0.3277	0.3199	None
Gsdmd	0.3385	0.341	None
Tmem177	0.2054	0.6042	None
Galnt15	0.5458	0.8346	None
Bco2	-0.7498	0.0143	None
Atp5j2	-1.0093	0.2113	None
Lamtor5	-0.4093	0.2962	None
Capn11	-6.1096	0.2758	None
Utp14b	-0.2809	0.5874	None
Cdca5	1.1014	0.4387	None
Hint1	-0.1845	0.5836	None
Rnps1	0.238	0.4603	None
Gtpbp10	-0.4396	0.1191	None
Chmp1b	0.4236	0.0319	None
Fkbp9	0.1016	0.7334	None
Khk	-0.3895	0.1369	None
Sik1	2.1627	3.7299e-11	Up
Cisd1	-0.9222	0.0012	None
Slc5a11	1.0534	0.7693	None
Snhg5	-0.3164	0.6639	None
Copg1	-0.1338	0.6937	None
Klk1	0.1813	0.961	None
Cyp17a1	-3.2662	6.5812e-24	Down
Zfp85	-0.3052	0.6809	None
Tox4	-0.009	0.9804	None
Bcl2l11	0.469	0.1585	None
Mylk	-0.3097	0.133	None
Bglap3	1.7471	0.1726	None
Rps6ka5	0.5543	0.4942	None
Adora1	1.4566	3.9992e-11	Up
Kpna3	-0.005	0.9893	None
Ier5	1.9624	1.4404e-14	Up
Zfp286	2.961	0.157	None
Cox7a2l	-0.24	0.2716	None
Tmem248	-0.1866	0.5349	None
Arhgef7	0.5699	0.0059	None
Kctd9	0.813	0.0034	None
Faap100	0.2723	0.5417	None
Ndufb9	-0.6228	0.1533	None
Edrf1	-0.6474	0.0442	None
Vdac1	-0.4221	0.0251	None
Irak1	0.0941	0.7516	None
Bsg	0.2253	0.2622	None
Atpaf2	-0.5176	0.1079	None
Kansl3	-0.1939	0.409	None
Mir671	0.5745	0.2428	None
Sipa1l2	-0.1197	0.846	None
Wdhd1	0.7885	0.3783	None
Aamdc	-1.3553	0.0015	Down
Galnt2	0.1027	0.7311	None
Hook3	-0.3465	0.1283	None
Snord23	1.0124	0.7652	None
Rasl10a	4.9546	0.0084	Up
Gm19705	4.0729	0.0001	Up
Dpf2	-0.1417	0.6637	None
